JobId,JobTitle,Location,Budget,ProviderId,TotalApplications,ApprovedApplications,RejectedApplications,CreatedDate
1078,A,Remote,500.00,1011,0,0,0,5/11/2026 9:13:33 AM
1079,B,Remote,400.00,1011,0,0,0,5/11/2026 9:13:33 AM
1080,D,New York,300.00,1011,0,0,0,5/11/2026 9:13:33 AM
1081,A,Remote,500.00,1011,0,0,0,5/11/2026 9:13:39 AM
1082,B,Remote,400.00,1011,0,0,0,5/11/2026 9:13:39 AM
1083,D,New York,300.00,1011,0,0,0,5/11/2026 9:13:39 AM
1084,A,Remote,500.00,1011,0,0,0,5/11/2026 9:13:41 AM
1085,B,Remote,400.00,1011,0,0,0,5/11/2026 9:13:41 AM
1086,D,New York,300.00,1011,0,0,0,5/11/2026 9:13:41 AM
1087,A,Remote,500.00,1011,0,0,0,5/11/2026 9:13:41 AM
1088,B,Remote,400.00,1011,0,0,0,5/11/2026 9:13:41 AM
1089,D,New York,300.00,1011,0,0,0,5/11/2026 9:13:41 AM
1090,A,Remote,500.00,1011,0,0,0,5/11/2026 9:13:41 AM
1091,B,Remote,400.00,1011,0,0,0,5/11/2026 9:13:41 AM
1092,D,New York,300.00,1011,0,0,0,5/11/2026 9:13:41 AM
1093,A,Remote,500.00,1011,0,0,0,5/11/2026 9:13:41 AM
1094,B,Remote,400.00,1011,0,0,0,5/11/2026 9:13:41 AM
1095,D,New York,300.00,1011,0,0,0,5/11/2026 9:13:41 AM
1096,A,Remote,500.00,1011,0,0,0,5/11/2026 9:13:42 AM
1097,B,Remote,400.00,1011,0,0,0,5/11/2026 9:13:42 AM
1098,D,New York,300.00,1011,0,0,0,5/11/2026 9:13:42 AM
1099,A,Remote,500.00,1011,0,0,0,5/11/2026 9:13:53 AM
1100,B,Remote,400.00,1011,0,0,0,5/11/2026 9:13:53 AM
1101,D,New York,300.00,1011,0,0,0,5/11/2026 9:13:53 AM
1102,A,Remote,500.00,1011,0,0,0,5/11/2026 9:14:22 AM
1103,B,Remote,400.00,1011,0,0,0,5/11/2026 9:14:22 AM
1104,D,New York,300.00,1011,0,0,0,5/11/2026 9:14:22 AM
